video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=klDLZ6mAS1k&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,26K weergaven,1 jaar geleden,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2024-01-28 08:46:29.618591
/watch?v=HmKKy0zD-uw&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,369K weergaven,3 jaar geleden,"CAMPUS CRAWL is the series where I take you to the best college campuses across the world! I'll show you the student life, ...",2024-01-28 08:46:29.621582
/watch?v=gOmiwd2HS_c&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@UWVideo,UW Video,University of Washington Campus Tour,461K weergaven,11 jaar geleden,"Check out the University of Washington's main campus, with a look at the natural beauty and architectural wonders that make the ...",2024-01-28 08:46:29.624793
/watch?v=sqtnxj0i52Q&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@ActionKid,ActionKid,Seattle Walk : University of Washington Campus & U-District in April 2023,16K weergaven,8 maanden geleden,"The University District, often called ""U-District,"" is a neighborhood located in the north-central part of Seattle, Washington. As the ...",2024-01-28 08:46:37.367207
/watch?v=64eaz6VlAlI&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@lucylee13,Lucy Lee,week in my life as a grad student in seattle | university of washington,"4,6K weergaven",3 maanden geleden,damn grad school is no joke LOL.. so grateful for my friends who play with me as I die T_T love u all xx thanks for following me ...,2024-01-28 08:46:37.369967
/watch?v=Y-cn6v6VGj4&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@CampusMania,CampusMania,University of Washington | UW | 8K Campus Drone Tour,30K weergaven,2 jaar geleden,An 8K tour of University of Washington campus! Check below for selected chapters of the video. Washington Universities Playlist: ...,2024-01-28 08:46:37.373730
/watch?v=D4R-YZ-VZhQ&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,141K weergaven,5 jaar geleden,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2024-01-28 08:46:37.376351
/watch?v=g--93OS0498&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@nancyhe,Nancy He 何南希,DAY IN MY LIFE @ the University of Washington // freshman,21K weergaven,1 jaar geleden,"dayinthelife #universityofwashington #collegevlog welcome everyone to, I think, my favorite video I've ever filmed/edited ever!",2024-01-28 08:46:37.378975
/watch?v=CZn5jvoWQZM&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@fox13seattle,FOX 13 Seattle,University of Washington ranks 17th best university in the world | FOX 13 Seattle,"2,2K weergaven",1 jaar geleden,University of Washington ranks 17th best university in the world. Washington State University ranks among the top 300 ...,2024-01-28 08:46:37.381541
/watch?v=eArtrDFSF24&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,37K weergaven,2 jaar geleden,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2024-01-28 08:46:37.385485
